,context_precision_without_reference,context_precision_with_reference,context_recall,context_entity_recall,context_noise_sensitivity,context_semantic_similarity,faithfulness,context_response_relevancy,context_factual_correctness,rouge1_precision,rouge1_recall,rouge1_f1,rouge2_precision,rouge2_recall,rouge2_f1,rougel_precision,rougel_recall,rougel_f1,bleu
0,0.9999999999,0.9999999999,1.0,0.0,0.3333333333333333,0.9551371724032256,1.0,0.6142801858673517,1.0,0.72,0.9473684210526315,0.8181818181818181,0.625,0.8333333333333334,0.7142857142857143,0.72,0.9473684210526315,0.8181818181818181,0.3086194627209984
1,0.9999999999666667,0.9999999999666667,1.0,0.999999995,0.3333333333333333,0.6269865297318846,1.0,0.7604660402703103,1.0,0.375,1.0,0.5454545454545454,0.34782608695652173,1.0,0.5161290322580645,0.375,1.0,0.5454545454545454,0.5623413251903491
2,0.9999999999666667,0.9999999999666667,1.0,0.0,0.4,0.7640749585736577,1.0,0.3630191358798102,0.8,0.39436619718309857,0.875,0.5436893203883495,0.3,0.6774193548387096,0.4158415841584159,0.38028169014084506,0.84375,0.5242718446601942,0.12547530994780284
3,0.8333333332916666,0.8333333332916666,0.0,0.0,0.0,0.7247482835746246,0.0,0.41433244261193,0.0,0.47619047619047616,0.5555555555555556,0.5128205128205129,0.35,0.4117647058823529,0.37837837837837834,0.38095238095238093,0.4444444444444444,0.41025641025641024,0.0
4,0.9999999999666667,0.9999999999666667,1.0,0.0,0.0,0.6146338815656396,1.0,0.6313766409496894,0.0,0.21951219512195122,0.16071428571428573,0.18556701030927836,0.025,0.01818181818181818,0.021052631578947368,0.17073170731707318,0.125,0.14432989690721648,0.0
5,0.9999999999666667,0.9999999999666667,1.0,0.0,0.0,0.8088462857227817,1.0,0.3024636644602914,1.0,0.56,0.7777777777777778,0.6511627906976745,0.4166666666666667,0.5882352941176471,0.48780487804878053,0.56,0.7777777777777778,0.6511627906976745,0.0
6,0.9999999999666667,0.9999999999666667,1.0,0.0,0.25,0.9277177453917824,0.75,0.525852317395342,0.57,0.7948717948717948,0.8157894736842105,0.8051948051948051,0.7631578947368421,0.7837837837837838,0.7733333333333334,0.7948717948717948,0.8157894736842105,0.8051948051948051,0.0
7,0.99999999995,0.99999999995,1.0,0.9999999966666667,0.42857142857142855,0.9311047240023482,1.0,0.7707641211201949,0.57,0.7,0.9333333333333333,0.8,0.6153846153846154,0.8275862068965517,0.7058823529411765,0.525,0.7,0.6,0.0
8,0.9999999999666667,0.9999999999666667,1.0,0.0,0.09090909090909091,0.9101498038384004,1.0,0.48421564900915975,0.73,0.36809815950920244,0.9230769230769231,0.5263157894736843,0.25925925925925924,0.65625,0.37168141592920345,0.3496932515337423,0.8769230769230769,0.5,0.0051146501783410625
9,0.9999999999666667,0.9999999999666667,0.6666666666666666,0.16666666638888888,0.0,0.967776291991894,1.0,0.4372060754861203,0.88,0.8360655737704918,0.6710526315789473,0.7445255474452555,0.7,0.56,0.6222222222222222,0.8032786885245902,0.6447368421052632,0.7153284671532848,0.0030204197170134897
10,0.0,0.3333333333,1.0,0.0,0.0,0.7901416377258693,1.0,0.0,0.73,0.12087912087912088,0.4230769230769231,0.18803418803418806,0.022222222222222223,0.08,0.034782608695652174,0.07692307692307693,0.2692307692307692,0.11965811965811968,0.0
11,0.8333333332916666,0.9999999999,0.0,0.0,0.0,0.7985895204784537,0.8571428571428571,0.0,0.0,0.16666666666666666,0.3617021276595745,0.22818791946308725,0.04950495049504951,0.10869565217391304,0.06802721088435375,0.11764705882352941,0.2553191489361702,0.1610738255033557,0.0
12,0.8333333332916666,0.8333333332916666,0.2,0.16666666638888888,1.0,0.720081485810134,1.0,0.30186545480497734,0.0,0.12844036697247707,0.2692307692307692,0.1739130434782609,0.046296296296296294,0.09803921568627451,0.06289308176100629,0.10091743119266056,0.21153846153846154,0.13664596273291926,0.030941830482760235
13,0.9999999999666667,0.9999999999666667,1.0,0.18181818165289254,0.0,0.8408139180985937,0.9523809523809523,0.27244403553042895,0.18,0.14553990610328638,0.5166666666666667,0.2271062271062271,0.08490566037735849,0.3050847457627119,0.13284132841328414,0.12206572769953052,0.43333333333333335,0.1904761904761905,0.013903060638709325
14,0.9999999999666667,0.9999999999666667,1.0,0.24999999968749997,0.0,0.8438556428815729,0.6,0.4999310894305491,0.27,0.2604166666666667,0.4032258064516129,0.31645569620253167,0.11578947368421053,0.18032786885245902,0.14102564102564102,0.19791666666666666,0.3064516129032258,0.24050632911392406,0.01138286330681933
15,0.9999999999666667,0.9999999999666667,0.5,0.0,0.0,0.8723923499843096,1.0,0.3387658409407616,0.86,0.8076923076923077,0.3684210526315789,0.5060240963855421,0.64,0.2857142857142857,0.3950617283950617,0.5769230769230769,0.2631578947368421,0.3614457831325302,0.018767168855425027
16,0.8333333332916666,0.8333333332916666,0.5,0.49999999964285713,0.42857142857142855,0.9029565739741252,1.0,0.2581755270805786,0.62,0.47619047619047616,0.6944444444444444,0.5649717514124294,0.2692307692307692,0.39436619718309857,0.32,0.4,0.5833333333333334,0.4745762711864407,0.0
17,0.9999999999666667,0.9999999999666667,0.75,0.3333333329629629,0.3333333333333333,0.8171283751872475,1.0,0.40299908443164784,0.44,0.48717948717948717,0.2235294117647059,0.3064516129032258,0.23684210526315788,0.10714285714285714,0.14754098360655737,0.3333333333333333,0.15294117647058825,0.20967741935483872,0.0
18,0.5833333333041666,0.9999999999666667,1.0,0.0,0.0,0.865961257573038,0.25,0.2573969311916053,0.8,0.22388059701492538,0.6521739130434783,0.33333333333333337,0.16666666666666666,0.5,0.25,0.208955223880597,0.6086956521739131,0.31111111111111117,0.0
19,0.5833333333041666,0.0,0.0,0.0,0.0,0.6788229223243438,0.875,0.11144946707928934,0.0,0.07079646017699115,0.36363636363636365,0.11851851851851852,0.03571428571428571,0.19047619047619047,0.06015037593984962,0.07079646017699115,0.36363636363636365,0.11851851851851852,0.18718716632432567
20,0.99999999995,0.9999999999666667,1.0,0.09090909082644627,0.0,0.682320755697573,0.4,0.0,0.37,0.3,0.19736842105263158,0.23809523809523808,0.10204081632653061,0.06666666666666667,0.08064516129032258,0.18,0.11842105263157894,0.14285714285714285,0.0
21,0.0,0.9999999999666667,1.0,0.49999999949999996,1.0,0.8235196295712174,0.5,0.0,0.0,0.2857142857142857,0.3384615384615385,0.3098591549295775,0.15789473684210525,0.1875,0.17142857142857143,0.23376623376623376,0.27692307692307694,0.2535211267605634,0.01138286330681933
22,0.0,0.99999999995,1.0,0.2857142853061225,0.25,0.7939650397481821,0.5,0.0,0.0,0.38,0.21839080459770116,0.2773722627737227,0.1836734693877551,0.10465116279069768,0.13333333333333333,0.22,0.12643678160919541,0.16058394160583941,0.0
23,0.9999999999,0.9999999999,0.6666666666666666,0.1111111109876543,0.9090909090909091,0.732002586535404,1.0,0.3876623670122837,0.1,0.21333333333333335,0.26229508196721313,0.23529411764705885,0.053691275167785234,0.06611570247933884,0.059259259259259255,0.13333333333333333,0.16393442622950818,0.14705882352941174,6.939843277158474e-05
24,0.9999999999666667,0.9999999999666667,0.1,0.0,0.5,0.8337854827842579,1.0,0.36807783213616546,0.17,0.5357142857142857,0.234375,0.3260869565217391,0.3333333333333333,0.14285714285714285,0.2,0.5,0.21875,0.30434782608695654,0.0
25,0.99999999995,0.3333333333,0.0,0.0,0.0,0.5890926596894308,1.0,0.3308600809459921,0.0,0.046296296296296294,0.5555555555555556,0.08547008547008547,0.028037383177570093,0.375,0.05217391304347826,0.046296296296296294,0.5555555555555556,0.08547008547008547,0.5623413251903491
26,0.9999999999666667,0.9999999999666667,0.0,0.249999999375,0.0,0.8219870672962355,0.8571428571428571,0.47182149251371314,0.0,0.225,0.4090909090909091,0.2903225806451613,0.15384615384615385,0.2857142857142857,0.2,0.225,0.4090909090909091,0.2903225806451613,0.3086194627209984
27,0.9999999999666667,0.8333333332916666,0.0,0.0,0.8125,0.7850053072439903,1.0,0.18224849043556754,0.31,0.21428571428571427,0.4,0.27906976744186046,0.12048192771084337,0.22727272727272727,0.15748031496062992,0.16666666666666666,0.3111111111111111,0.21705426356589147,0.0
28,0.0,0.49999999995,0.0,0.0,0.0,0.6273839085498929,1.0,0.0,0.0,0.038461538461538464,0.3076923076923077,0.06837606837606838,0.009708737864077669,0.08333333333333333,0.017391304347826087,0.028846153846153848,0.23076923076923078,0.05128205128205129,0.0
29,0.9999999999666667,0.9999999999666667,1.0,0.0,0.4,0.8322424843949388,1.0,0.4415735338431997,0.67,0.6197183098591549,0.9565217391304348,0.7521367521367522,0.5285714285714286,0.8222222222222222,0.6434782608695652,0.6197183098591549,0.9565217391304348,0.7521367521367522,0.0
